date,TweetVolumeDaily,ln_tweetsDaily,H_daily,meanAbsPolarityDaily,meanPolarityDaily,meanSubjectivityDaily,stdAbsPolarityDaily,stdPolarityDaily,stdSubjectivityDaily,pressConf,month,EconBulletin,speechOtherBoard,speechPresident,n,n2,MonPolAccounts,tweetECB,whatever,dow,dec24,dec25,dec26,dec31,jan01,may01,may09,nov01,oct03,easterSun,easterMon,goodfriday,goodsat,ascension,whitMon,corpus
27jan2012,65,4.2195077,0.020118343,0.383076923,.1892307692307692,.1153846153846154,.4036636950460432,.5233393007109622,.2597222002482173,0,1,0,0,0,27,729,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28jan2012,23,3.1354942,0.066162571,.1760869565217391,0.006521739,0,.2135973279924631,.2767451927338996,0,0,1,0,0,0,28,784,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29jan2012,4,1.3862944,0.25,0.25,0.25,0,.4330127018922193,.4330127018922193,0,0,1,0,0,0,29,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30jan2012,4,1.3862944,0.25,0,0,0,0,0,0,0,1,0,0,0,30,900,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31jan2012,20,3.1780539,0.050000001,0.2,0.2,0.05,.4000000000000001,.4000000000000001,.2179449471770336,0,1,0,0,0,31,961,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01feb2012,13,2.5649493,0.088757403,.4615384615384616,.4615384615384616,0,.4985185152621431,.4985185152621431,0,0,2,0,0,0,32,1024,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02feb2012,6,1.9459101,0.22222224,.2333333333333333,-0.233333333,0,.3299831645537222,.3299831645537222,0,0,2,0,0,0,33,1089,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03feb2012,7,1.9459101,0.14285715,0.2,-0.2,0,.3162277660168379,.3162277660168379,0,0,2,0,0,0,34,1156,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04feb2012,5,1.6094379,0.28,0.14,-0.14,0,0.28,0.28,0,0,2,0,0,0,35,1225,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05feb2012,2,0.69314718,0.5,0,0,0,0,0,0,0,2,0,0,0,36,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06feb2012,14,2.6390574,0.091836743,.1214285714285714,.1214285714285714,0,.3027931199175235,.3027931199175235,0,0,2,0,1,0,37,1369,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07feb2012,4,1.6094379,0.25,0.175,0.175,0,.3031088913245535,.3031088913245535,0,0,2,0,0,0,38,1444,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08feb2012,30,3.6635616,0.046666671,0.36,0.36,0.1,0.363868108,0.363868108,0.3,0,2,0,0,0,39,1521,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09feb2012,151,5.0814042,0.0150432,.2228476821192053,-0.04602649,0.006622517,.3709097058744162,.4302518582759783,0.081108932,1,2,0,0,0,40,1600,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10feb2012,15,3.0445225,0.06666667,.5733333333333334,0.44,0.1,.3906689419728963,.5364078050637717,0.2,0,2,0,0,0,41,1681,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11feb2012,1,0,1,0,0,0,0,0,0,0,2,0,0,0,42,1764,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12feb2012,2,0.69314718,0.5,0.2625,0.2625,0,0.2625,0.2625,0,0,2,0,0,0,43,1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13feb2012,11,2.6390574,0.10743802,.3090909090909091,-0.054545455,0,.4187742838647645,.5176233034722457,0,0,2,0,0,0,44,1936,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14feb2012,4,1.3862944,0.375,0,0,0,0,0,0,0,2,0,0,0,45,2025,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15feb2012,15,2.7725887,0.3155556,.4666666666666667,.3333333333333333,0.033333333,.4642796092394706,.5676462121975466,.1247219128924647,0,2,0,0,0,46,2116,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16feb2012,7,1.9459101,0.18367349,.8571428571428571,-0.285714286,0,.3499271061118826,0.880630572,0,0,2,1,0,0,47,2209,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17feb2012,0,,,,,,,,,0,2,0,0,0,48,2304,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18feb2012,44,3.7841897,0.043388434,0,0,0,0,0,0,0,2,0,0,0,49,2401,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19feb2012,4,1.3862944,0.25,0,0,0,0,0,0,0,2,0,1,0,50,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20feb2012,2,1.0986123,0.5,0,0,0,0,0,0,0,2,0,1,0,51,2601,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21feb2012,1,0,1,0,0,0,0,0,0,0,2,0,0,0,52,2704,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22feb2012,0,,,,,,,,,0,2,0,0,0,53,2809,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23feb2012,68,4.3694477,0.023788927,.5183823529411765,.3610294117647058,0,.3391061359711546,0.503359711,0,0,2,0,0,0,54,2916,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24feb2012,83,4.5432949,0.01640296,.1427710843373494,-0.01626506,0.036144578,0.309111877,.3401017241284099,0.1866498,0,2,0,0,0,55,3025,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25feb2012,17,3.0445225,0.072664358,.1705882352941177,-0.170588235,.1176470588235294,0.329017621,0.329017621,.3221897397089212,0,2,0,0,0,56,3136,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26feb2012,16,3.1780539,0.0703125,0.2125,0,0.125,.3756244800329179,.4315669125408017,.3307189138830738,0,2,0,0,0,57,3249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27feb2012,53,4.2626801,0.022427911,0.589622642,.1915094339622642,0,.4500201068777709,.7165871145075774,0,0,2,0,1,0,58,3364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28feb2012,46,3.9702919,0.02551985,.6282608695652173,.2326086956521739,0.02173913,.3948929648476916,0.704659754,.1458305202717252,0,2,0,0,0,59,3481,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29feb2012,90,4.7706847,0.020740742,.2694444444444444,.1716666666666667,0,.4166462957983297,.4655373239601741,0,0,2,0,0,0,60,3600,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01mar2012,99,4.6728287,0.016835017,.1464646464646465,0.057575758,0,.3312245816626573,.3575564966563939,0,0,3,0,0,0,61,3721,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02mar2012,67,4.4067192,0.027400311,.1992537313432836,.1186567164179105,0.029850746,.3008064455924402,.3407449938195699,.1701754365819609,0,3,0,0,0,62,3844,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03mar2012,10,2.3025851,0.12,0.7,0.7,0.1,0.458257569,0.458257569,0.3,0,3,0,0,0,63,3969,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04mar2012,6,2.0794415,0.16666667,.3333333333333333,.3333333333333333,0,.4714045207910317,.4714045207910317,0,0,3,0,0,0,64,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05mar2012,109,4.7361984,0.01422439,.7678899082568807,0.755045872,0,.4198909281581739,.4425709373569934,0,0,3,0,0,0,65,4225,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06mar2012,5,2.0794415,0.28,0.74,0.46,0,.3878143885933063,.6974238309665077,0,0,3,0,1,0,66,4356,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07mar2012,11,2.4849067,0.12396695,0.090909091,0.090909091,0,.2874797872880345,.2874797872880345,0,0,3,0,0,0,67,4489,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08mar2012,93,4.6821313,0.020696035,.2154121863799283,-0.02078853,0.010752688,.3405512131650259,.4024243728083797,.1031361617916715,1,3,0,0,0,68,4624,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09mar2012,68,4.2341065,0.022058824,0.020588235,0.020588235,0,.1182704074287242,.1182704074287242,0,0,3,0,0,0,69,4761,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10mar2012,6,2.0794415,0.16666667,.3333333333333333,.3333333333333333,0,.4714045207910317,.4714045207910317,0,0,3,0,0,0,70,4900,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11mar2012,2,0.69314718,1,0,0,0.5,0,0,0.5,0,3,0,0,0,71,5041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12mar2012,8,2.1972246,0.125,0,0,0.125,0,0,.3307189138830738,0,3,0,0,0,72,5184,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13mar2012,79,4.3944492,0.020669764,.1128691983122363,-0.064345992,0.004219409,.3068251902591392,.3205319744974161,0.037264814,0,3,0,1,1,73,5329,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14mar2012,6,1.7917595,0.16666667,0.45,.1166666666666667,0,.4609772228646444,.6335525936249404,0,0,3,0,0,0,74,5476,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15mar2012,6,1.9459101,0.16666667,.2833333333333333,-0.05,.1666666666666667,.4099457958749614,.4958158260214505,.3726779962499649,0,3,1,0,0,75,5625,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16mar2012,3,1.0986123,0.33333334,.2333333333333333,.2333333333333333,0,.3299831645537222,.3299831645537222,0,0,3,0,0,0,76,5776,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17mar2012,4,2.3025851,0.375,0.25,-0.25,0,.4330127018922193,.4330127018922193,0,0,3,0,0,0,77,5929,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18mar2012,17,3.0445225,0.21107267,0.058823529,0.058823529,0,.2352941176470588,.2352941176470588,0,0,3,0,0,0,78,6084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19mar2012,4,1.6094379,0.25,0,0,0,0,0,0,0,3,0,0,0,79,6241,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20mar2012,5,1.6094379,0.2,0,0,0,0,0,0,0,3,0,0,0,80,6400,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21mar2012,1,0,1,0,0,0,0,0,0,0,3,0,0,0,81,6561,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22mar2012,203,5.3936276,0.011381009,.3315270935960591,.1916256157635468,0.004926108,.4607673328049873,.5343186054702891,0.070013155,0,3,0,0,0,82,6724,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23mar2012,139,4.9836068,0.009989131,.2741007194244605,0.013669065,0.014388489,.3976709404846636,.4827903664779084,.1028802132811158,0,3,0,0,0,83,6889,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24mar2012,6,2.0794415,0.16666667,0.475,.1416666666666667,0,.4394598957811736,.6314115579838205,0,0,3,0,0,0,84,7056,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25mar2012,45,3.9512436,0.022222223,0.018888889,-0.018888889,0,.1252947143023151,.1252947143023151,0,0,3,0,0,0,85,7225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26mar2012,47,3.9512436,0.033952013,.3361702127659574,.2574468085106383,0.010638298,.3615425179757009,0.421241671,0.072152447,0,3,0,1,1,86,7396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27mar2012,26,3.3322046,0.03846154,.1980769230769231,.1980769230769231,.1346153846153846,.2991914646917233,.2991914646917233,.2217800498975153,0,3,0,1,0,87,7569,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28mar2012,10,2.3025851,0.1,0.11,-0.04,0.05,.2374868417407583,.2586503431275513,0.15,0,3,0,0,0,88,7744,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29mar2012,4,1.6094379,0.25,0.25,0.25,0.25,.4330127018922193,.4330127018922193,.4330127018922193,0,3,0,0,0,89,7921,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30mar2012,3,1.0986123,0.33333334,0,0,0,0,0,0,0,3,0,0,0,90,8100,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31mar2012,1,0,1,0,0,0,0,0,0,0,3,0,0,0,91,8281,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01apr2012,6,2.0794415,0.16666667,0,0,0,0,0,0,0,4,0,0,0,92,8464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02apr2012,3,1.0986123,0.33333334,.6999999999999998,-0.233333333,0,1.11022302463e-16,.6599663291074443,0,0,4,0,0,0,93,8649,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03apr2012,7,1.9459101,0.18367349,.4285714285714285,-0.428571429,0,.4948716593053935,.4948716593053935,0,0,4,0,0,0,94,8836,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
