date,TweetVolumeDaily,ln_tweetsDaily,H_daily,meanAbsPolarityDaily,meanPolarityDaily,meanSubjectivityDaily,stdAbsPolarityDaily,stdPolarityDaily,stdSubjectivityDaily,pressConf,month,EconBulletin,speechOtherBoard,speechPresident,n,n2,MonPolAccounts,tweetECB,whatever,dow,dec24,dec25,dec26,dec31,jan01,may01,may09,nov01,oct03,easterSun,easterMon,goodfriday,goodsat,ascension,whitMon,corpus,F1_pressConf,F2_pressConf,F3_pressConf,F4_pressConf,F5_pressConf,L1_pressConf,L2_pressConf,L3_pressConf,date_2
22jan2012,61,4.1743875,.036818057,.0114754098360656,.0114754098360656,0,.0888881423719735,.0888881423719735,0,0,1,0,0,0,22,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
23jan2012,9,2.3025851,.13580248,0,0,0,0,0,0,0,1,0,0,0,23,529,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
24jan2012,5,1.7917595,.2,.4,0,0,.4898979485566357,.6324555320336759,0,0,1,0,0,0,24,576,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
25jan2012,5,1.7917595,.2,0,0,0,0,0,0,0,1,0,0,0,25,625,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
26jan2012,10,2.3025851,.1,.2,.2,.1,.4000000000000001,.4000000000000001,.3,0,1,0,0,0,26,676,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
27jan2012,65,4.2195077,.020118343,.383076923076923,.1892307692307692,.1153846153846154,.4036636950460432,.5233393007109622,.2597222002482173,0,1,0,0,0,27,729,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
28jan2012,23,3.1354942,.066162571,.1760869565217391,.0065217391304348,0,.2135973279924631,.2767451927338996,0,0,1,0,0,0,28,784,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
29jan2012,4,1.3862944,.25,.25,.25,0,.4330127018922193,.4330127018922193,0,0,1,0,0,0,29,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
30jan2012,4,1.3862944,.25,0,0,0,0,0,0,0,1,0,0,0,30,900,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
31jan2012,20,3.1780539,.050000001,.2,.2,.05,.4000000000000001,.4000000000000001,.2179449471770336,0,1,0,0,0,31,961,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
01feb2012,13,2.5649493,.088757403,.4615384615384616,.4615384615384616,0,.4985185152621431,.4985185152621431,0,0,2,0,0,0,32,1024,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
02feb2012,6,1.9459101,.22222224,.2333333333333333,-.2333333333333333,0,.3299831645537222,.3299831645537222,0,0,2,0,0,0,33,1089,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
03feb2012,7,1.9459101,.14285715,.2,-.2,0,.3162277660168379,.3162277660168379,0,0,2,0,0,0,34,1156,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
04feb2012,5,1.6094379,.28,.14,-.14,0,.28,.28,0,0,2,0,0,0,35,1225,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35
05feb2012,2,.69314718,.5,0,0,0,0,0,0,0,2,0,0,0,36,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36
06feb2012,14,2.6390574,.091836743,.1214285714285714,.1214285714285714,0,.3027931199175235,.3027931199175235,0,0,2,0,1,0,37,1369,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37
07feb2012,4,1.6094379,.25,.175,.175,0,.3031088913245535,.3031088913245535,0,0,2,0,0,0,38,1444,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38
08feb2012,30,3.6635616,.046666671,.36,.36,.1,.363868107973205,.363868107973205,.3,0,2,0,0,0,39,1521,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39
09feb2012,151,5.0814042,.0150432,.2228476821192053,-.0460264900662252,.0066225165562914,.3709097058744162,.4302518582759783,.0811089318802377,1,2,0,0,0,40,1600,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10feb2012,15,3.0445225,.06666667,.5733333333333334,.44,.1,.3906689419728963,.5364078050637717,.2,0,2,0,0,0,41,1681,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41
11feb2012,1,0,1,0,0,0,0,0,0,0,2,0,0,0,42,1764,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42
12feb2012,2,.69314718,.5,.2625,.2625,0,.2625,.2625,0,0,2,0,0,0,43,1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43
13feb2012,11,2.6390574,.10743802,.3090909090909091,-.0545454545454546,0,.4187742838647645,.5176233034722457,0,0,2,0,0,0,44,1936,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
14feb2012,4,1.3862944,.375,0,0,0,0,0,0,0,2,0,0,0,45,2025,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
15feb2012,15,2.7725887,.3155556,.4666666666666667,.3333333333333333,.0333333333333333,.4642796092394706,.5676462121975466,.1247219128924647,0,2,0,0,0,46,2116,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
16feb2012,7,1.9459101,.18367349,.8571428571428571,-.2857142857142857,0,.3499271061118826,.880630571852711,0,0,2,1,0,0,47,2209,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
17feb2012,0,,,,,,,,,0,2,0,0,0,48,2304,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
18feb2012,44,3.7841897,.043388434,0,0,0,0,0,0,0,2,0,0,0,49,2401,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
19feb2012,4,1.3862944,.25,0,0,0,0,0,0,0,2,0,1,0,50,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
20feb2012,2,1.0986123,.5,0,0,0,0,0,0,0,2,0,1,0,51,2601,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
21feb2012,1,0,1,0,0,0,0,0,0,0,2,0,0,0,52,2704,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
